STATUS | wrapper  | 2016/12/08 22:17:54 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/08 22:17:54 | Launching a JVM...
INFO   | jvm 1    | 2016/12/08 22:17:54 | Wrapper (Version 3.2.0) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/12/08 22:17:54 | 
INFO   | jvm 1    | 2016/12/08 22:17:54 | 
INFO   | jvm 1    | 2016/12/08 22:17:54 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2016/12/08 22:17:54 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2016/12/08 22:17:54 |           could not be loaded:
INFO   | jvm 1    | 2016/12/08 22:17:54 |             D:\com\james\bin\.\wrapper.dll
INFO   | jvm 1    | 2016/12/08 22:17:54 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2016/12/08 22:17:54 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2016/12/08 22:17:54 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2016/12/08 22:17:54 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2016/12/08 22:17:54 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2016/12/08 22:17:54 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2016/12/08 22:17:54 | 
INFO   | jvm 1    | 2016/12/08 22:17:54 | 
INFO   | jvm 1    | 2016/12/08 22:17:54 | Phoenix 4.2
INFO   | jvm 1    | 2016/12/08 22:17:54 | 
INFO   | jvm 1    | 2016/12/08 22:17:56 | James Mail Server 2.3.2
INFO   | jvm 1    | 2016/12/08 22:17:56 | Remote Manager Service started plain:4555
INFO   | jvm 1    | 2016/12/08 22:17:56 | POP3 Service started plain:110
INFO   | jvm 1    | 2016/12/08 22:17:56 | SMTP Service started plain:25
INFO   | jvm 1    | 2016/12/08 22:17:56 | NNTP Service started plain:119
INFO   | jvm 1    | 2016/12/08 22:17:56 | FetchMail Disabled
STATUS | wrapper  | 2016/12/08 23:42:17 | Machine is shutting down.
INFO   | jvm 1    | 2016/12/08 23:42:17 | JVM exiting abnormally. Shutting down Phoenix.
INFO   | jvm 1    | 2016/12/08 23:42:19 | org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleException: Component named "thread-manager" failed to pass through the Destruction stage. (Reason: java.lang.IllegalThreadStateException).
